#Table1
oh_p50,sfr_tot_p50
-9999,-0.5206503
-9999,-0.5273424
-9999,-0.3497217
-9999,-0.7723387
-9999,-9999
-9999,-9999
-9999,-1.124918
-9999,-1.15523
-9999,-9999
-9999,-0.3182279
8.688159,-0.4110092
-9999,-0.3500257
-9999,-0.8372241
-9999,-9999
-9999,-1.863996
-9999,-9999
-9999,-0.7724152
-9999,-0.732043
9.012159,0.04109279
9.011528,-0.1258186
-9999,-0.7317444
-9999,-1.056879
-9999,-2.438839
8.943193,-0.2007935
8.932603,-0.1858822
-9999,-2.51197
8.771097,-0.4463786
-9999,-1.124653
-9999,-1.156112
9.052521,0.0820602
-9999,-9999
-9999,-0.1338706
-9999,-0.1329262
-9999,-1.86423
-9999,-1.057287
-9999,-0.8375269
-9999,-9999
-9999,-2.224142
-9999,-0.08189751
-9999,-0.7341923
-9999,0.8647915
-9999,0.864674
-9999,-0.7360687
-9999,-0.7349961
-9999,-1.228371
-9999,-1.227425
-9999,-2.224142
-9999,0.3437168
8.173073,-1.941565
-9999,-9999
-9999,-1.078631
-9999,-2.375116
-9999,-1.840278
-9999,-1.687611
-9999,-9999
-9999,-9999
-9999,-3.96522
-9999,-9999
-9999,-0.02459623
-9999,-1.846447
-9999,-9999
-9999,-0.7344363
-9999,-1.84755
-9999,0.3437771
-9999,-0.08263053
-9999,-0.02475803
-9999,-1.077784
-9999,-9999
-9999,-3.942202
-9999,-1.68701
-9999,-9999
-9999,-9999
-9999,0.01903543
-9999,-3.638361
9.136789,0.6109347
-9999,-0.7962662
-9999,-0.7961334
-9999,-9999
-9999,-0.008963251
8.981265,0.8243421
-9999,-2.919246
-9999,-0.7235445
-9999,0.7745019
-9999,-9999
-9999,-4.418067
-9999,-1.129728
-9999,-1.130151
9.118535,0.5445285
-9999,-3.638361
-9999,-1.264054
-9999,-2.313127
9.05007,0.8837754
-9999,-0.8820283
-9999,-1.263637
9.050081,0.8915566
-9999,0.675212
-9999,-0.7227759
-9999,-0.01109383
-9999,-0.8817278
-9999,-2.959484
-9999,-9999
-9999,-9999
-9999,-0.5994826
-9999,-9999
9.11054,0.9214826
-9999,-0.5991502
-9999,-0.4190442
-9999,-1.067216
-9999,0.1130403
-9999,-0.9101483
-9999,-0.7156528
-9999,-9999
-9999,-0.2488785
-9999,-4.626803
-9999,-4.626803
-9999,-0.4362478
-9999,-3.501786
9.131351,0.2748753
-9999,-1.00839
8.617051,-0.4655593
-9999,-9999
-9999,-0.9096917
-9999,-1.009019
-9999,0.4216326
-9999,0.4195795
-9999,-1.067929
-9999,0.3161958
8.320573,-1.049395
8.291193,-1.112155
-9999,-1.601524
-9999,-0.7048789
-9999,-0.420014
-9999,-0.7761806
-9999,-0.2482339
-9999,-9999
-9999,-9999
-9999,-0.4373381
-9999,-1.031086
-9999,0.3164719
-9999,-0.776159
-9999,-0.7047386
-9999,-1.600966
-9999,-1.031221
8.951598,0.3922787
-9999,0.05640164
-9999,-9999
-9999,-9999
-9999,-0.9478909
-9999,-1.024064
-9999,-3.671042
-9999,-0.8479205
8.698087,1.221339
-9999,-0.9476357
8.205136,-1.867109
-9999,-0.4135857
-9999,-9999
8.949027,0.3415436
7.86691,-1.049316
-9999,-9999
-9999,-0.8474321
-9999,-0.9025133
-9999,-9999
-9999,-9999
-9999,-1.023584
8.673697,1.23729
-9999,0.05627118
-9999,-0.1524049
-9999,-0.1520292
-9999,-2.443284
-9999,-2.443284
-9999,-9999
-9999,-0.8062639
-9999,-0.8064928
-9999,-0.4130081
-9999,-9999
-9999,-9999
8.090004,-1.86794
-9999,-0.902147
7.875325,-1.205315
8.392303,-1.355655
-9999,-9999
-9999,0.3583851
-9999,0.3771563
8.70656,-0.4948
-9999,0.8243127
-9999,0.3770837
8.869233,0.06416361
8.48172,-1.361299
-9999,-0.0413788
-9999,-0.04048941
9.084019,1.039157
9.083694,1.085434
-9999,-9999
8.869402,0.05681415
-9999,-0.9436537
-9999,-0.9246168
-9999,0.3580501
-9999,-0.6929308
-9999,-1.116511
-9999,0.8239467
-9999,-1.921599
-9999,-1.139596
-9999,-0.6927454
-9999,-0.1130711
-9999,-0.8751944
-9999,0.1706677
-9999,-0.9215225
-9999,-1.922395
8.551201,-0.3925978
-9999,-0.9218345
-9999,-0.9242179
-9999,-1.116756
-9999,-1.139097
-9999,-9999
-9999,0.1706354
-9999,-0.9434928
-9999,-0.1129964
-9999,-0.8760363
-9999,-0.8627728
-9999,-0.8646027
9.011662,0.4200257
-9999,-0.3300363
-9999,1.636327
-9999,-1.286463
-9999,-9999
-9999,-2.477951
-9999,1.635646
-9999,-0.8648219
-9999,-9999
-9999,-0.3300828
-9999,-0.8479356
8.974708,0.4240833
-9999,-1.28618
-9999,-0.8630729
-9999,-9999
-9999,-9999
-9999,0.3538923
-9999,0.3537759
-9999,-1.10431
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.021468
-9999,-0.8489984
-9999,0.4268642
-9999,-9999
-9999,-1.104879
-9999,-1.021957
-9999,-9999
-9999,0.4264114
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-2.542673
-9999,-0.7603685
-9999,0.1309832
-9999,-1.369991
-9999,-0.3648292
-9999,-9999
-9999,-1.445763
8.069848,-0.2103145
-9999,-1.863797
-9999,-0.1851449
-9999,-9999
-9999,-9999
9.050448,0.533149
9.051352,0.5058534
-9999,-0.7614397
-9999,-1.402328
-9999,-1.3701
-9999,-0.3656407
-9999,-9999
-9999,0.1307471
-9999,-9999
8.728324,-0.2589058
8.991203,0.2163385
-9999,-9999
-9999,-9999
-9999,-1.862925
-9999,-9999
-9999,-1.445921
8.824842,-0.1013138
8.973409,0.2356288
8.076852,-0.276271
-9999,-0.3901449
-9999,-0.1851083
-9999,-9999
8.728516,-0.2561884
-9999,-9999
-9999,-0.3905433
8.854637,-0.06466553
-9999,-0.8240491
-9999,-0.8234265
-9999,-1.402062
-9999,-0.2351885
9.138196,2.126723
-9999,-1.086354
-9999,-1.653731
-9999,-1.572677
-9999,-0.5671316
-9999,-1.22876
-9999,-9999
9.144874,2.06097
-9999,-1.707711
-9999,-1.889218
-9999,-1.768433
-9999,-9999
-9999,-1.670986
-9999,-1.65353
9.137371,0.4338767
-9999,-0.4734885
-9999,-1.085744
-9999,0.3413382
-9999,-9999
-9999,-1.671013
-9999,-0.8655567
-9999,-0.5670423
8.823953,-1.1372
8.840913,-1.378869
-9999,-4.714633
-9999,-0.8660485
-9999,-1.88822
-9999,-1.70684
-9999,-0.2342427
-9999,-1.768813
-9999,-1.172279
-9999,-1.172286
-9999,-1.572315
-9999,-4.72006
-9999,-1.228636
-9999,-9999
-9999,0.3328343
9.121799,0.4229235
-9999,-0.4738789
-9999,-4.076182
-9999,-1.112839
-9999,-4.372985
-9999,-9999
-9999,-1.380457
-9999,-0.6805434
-9999,0.154541
-9999,0.9885256
-9999,0.3389012
-9999,-1.515625
-9999,-9999
-9999,-4.14596
-9999,-1.112284
-9999,0.9882085
8.971497,0.1077921
-9999,0.8204787
-9999,0.1545439
-9999,-1.231286
-9999,-0.1597977
-9999,-1.034394
-9999,-1.66464
-9999,-0.1594528
8.980007,0.006501573
-9999,-9999
-9999,-0.6808326
-9999,0.7471028
-9999,0.7470249
-9999,-1.664925
-9999,-1.03404
-9999,-4.373775
-9999,-1.515604
-9999,-1.379631
-9999,-9999
8.965159,0.01975928
-9999,-1.231387
8.948192,2.019981
8.846952,1.343984
-9999,-9999
-9999,-1.531943
-9999,-1.108138
-9999,-1.108362
-9999,-0.5258222
-9999,0.888415
-9999,-1.358182
-9999,-9999
-9999,0.3048403
-9999,-0.5264465
-9999,0.88891
-9999,0.3053195
-9999,-1.531494
8.608455,-0.5757574
-9999,-0.9450996
8.884273,1.436788
-9999,-9999
-9999,-1.358537
-9999,-0.2976269
-9999,-0.296995
-9999,-1.093665
-9999,-0.3872587
-9999,0.648401
-9999,-0.9447623
-9999,-1.691191
8.617805,-0.5833332
-9999,-0.38664
-9999,-9999
-9999,-1.691161
-9999,-9999
-9999,0.6477718
-9999,-0.8379417
-9999,-0.8381851
-9999,-1.093854
-9999,-9999
-9999,-9999
8.988839,0.327821
-9999,-9999
9.126715,0.6568739
-9999,0.9163785
9.068991,0.7411429
-9999,-0.9825198
-9999,-3.116702
-9999,-1.142367
-9999,-0.4676673
8.952761,0.3245118
-9999,-0.348902
8.689467,-0.1897209
-9999,-9999
-9999,-9999
8.953531,0.3071693
-9999,-0.5829673
9.066345,0.7173395
-9999,-0.9828602
-9999,0.3687363
8.540325,-0.07874525
8.936213,0.2847199
-9999,-3.116702
-9999,-1.413521
-9999,-9999
-9999,0.9169188
-9999,-9999
-9999,-9999
-9999,-1.14222
-9999,-9999
-9999,-1.413521
-9999,-0.4674648
-9999,-0.3482715
-9999,0.3711248
-9999,0.3714357
-9999,-0.5824749
-9999,-9999
-9999,-1.284631
-9999,-9999
-9999,-1.808178
-9999,-0.7206083
-9999,-0.6250465
-9999,-0.8777879
-9999,-1.133364
-9999,0.7645012
-9999,-0.7216508
-9999,-1.133207
-9999,-0.9302218
-9999,-9999
8.982491,-0.004746808
8.976677,0.01420917
-9999,-1.409593
-9999,-1.410678
-9999,-1.072853
-9999,-1.072717
-9999,-0.9303953
-9999,-9999
-9999,-0.4320572
9.337455,1.693594
-9999,-0.8189796
-9999,0.7653255
9.324614,2.011055
-9999,0.5638793
-9999,-1.807859
-9999,-0.8193253
-9999,-1.284473
-9999,-0.4321967
-9999,-0.6258416
-9999,-1.518804
-9999,-1.518903
-9999,-0.8776287
-9999,-1.343585
-9999,-9999
-9999,0.5641223
-9999,-1.343356
-9999,-1.175253
-9999,0.06518661
-9999,-0.7284885
-9999,0.2610638
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-0.7290269
-9999,-9999
8.905507,-0.6342857
-9999,-0.7326817
-9999,-1.064208
-9999,-9999
-9999,-9999
-9999,-1.174811
-9999,-0.1904596
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.6775
-9999,-1.091465
-9999,-0.1895895
-9999,-1.063912
-9999,-9999
-9999,-1.547806
-9999,-0.7324061
-9999,0.04365639
-9999,-1.677646
-9999,-1.091397
-9999,0.260943
-9999,0.9112023
-9999,0.9111835
8.866198,0.3088091
8.911185,-0.7138749
-9999,-1.547918
8.867517,0.3660676
-9999,-1.444742
-9999,-9999
8.938178,0.6051111
-9999,-1.361849
-9999,-1.361401
-9999,-1.095487
-9999,0.01857448
-9999,0.05845378
8.907215,-0.3244184
-9999,-9999
-9999,-0.5157399
-9999,-0.5155582
-9999,-9999
-9999,-9999
-9999,-0.4874389
8.841472,0.1407311
-9999,-1.444886
-9999,-0.4871002
-9999,0.6837387
9.005812,0.5304826
-9999,-9999
-9999,-1.196942
-9999,-1.221511
-9999,-1.196734
-9999,-9999
9.099471,0.9341538
-9999,-0.5719767
-9999,-0.5712746
-9999,-1.096195
-9999,-9999
-9999,-9999
-9999,-9999
-9999,0.5722508
-9999,-9999
-9999,-1.221292
8.97436,0.5977091
-9999,0.7061008
-9999,-9999
-9999,-9999
9.047571,0.02538303
8.994775,0.001590915
-9999,-1.360237
-9999,-9999
-9999,-1.474617
-9999,-1.717172
-9999,-9999
-9999,-1.360156
-9999,-1.182535
-9999,-0.1735812
-9999,-1.182914
-9999,-1.716652
8.929672,0.5252188
-9999,-0.2998756
-9999,0.1546901
-9999,-9999
-9999,-0.3002158
-9999,0.1546159
8.86056,-0.2769998
-9999,-1.513243
-9999,-1.513563
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.475218
-9999,-9999
-9999,0.706952
-9999,-9999
-9999,0.5325284
8.827888,-0.2674824
-9999,-0.1735493
-9999,-9999
-9999,-9999
8.842993,0.4060607
8.993473,0.3440312
-9999,-0.3861827
8.617781,-0.1727699
-9999,-0.1839346
-9999,-9999
-9999,-9999
-9999,-1.329801
-9999,-1.3296
-9999,0.680401
-9999,0.6802088
8.946131,0.3874486
-9999,-0.935467
-9999,-0.1837887
-9999,-2.09839
-9999,-2.097424
-9999,-9999
-9999,-0.7239021
-9999,-1.077295
-9999,-0.9344866
8.850307,0.3352649
8.270444,-2.017429
-9999,-0.7229028
-9999,-2.916062
-9999,-2.690712
-9999,-1.890991
9.046956,-0.2453488
-9999,-9999
8.249898,-2.028942
8.619549,-0.1589202
-9999,-1.890705
-9999,-1.076688
-9999,-9999
-9999,0.3422801
8.984281,0.6518281
-9999,0.1516956
-9999,-1.053428
-9999,-4.755979
-9999,0.2556026
-9999,-1.053488
-9999,-4.75708
-9999,-9999
-9999,-0.5803013
-9999,0.2554719
-9999,-3.707341
-9999,-3.730921
-9999,-9999
-9999,-0.05901447
-9999,-1.582411
-9999,-0.5801801
-9999,-1.356766
-9999,-1.582816
-9999,0.1520534
-9999,0.09640481
-9999,-0.5375308
-9999,-1.358172
-9999,-9999
-9999,-1.467117
-9999,-1.479138
-9999,-1.479121
-9999,0.3300055
-9999,-9999
-9999,-0.5373817
-9999,-9999
-9999,-1.466853
-9999,0.3301226
-9999,-9999
8.948704,0.03468393
-9999,-9999
-9999,0.09620032
8.955735,0.1077281
-9999,-9999
-9999,-9999
-9999,-1.072107
-9999,-0.1764967
-9999,-9999
-9999,-3.820012
-9999,-3.820011
-9999,-9999
-9999,-0.8914585
9.109379,1.17977
-9999,-1.094308
-9999,-1.397506
-9999,-0.1770237
-9999,-1.300117
-9999,-0.6833754
8.929837,-0.1979035
-9999,0.02079265
-9999,-0.6829049
-9999,-9999
-9999,0.02144963
8.920814,-0.2063046
-9999,-1.397681
-9999,-1.072204
-9999,-0.09541859
-9999,-0.09520395
-9999,-0.6459082
-9999,-1.094198
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.299143
9.109716,1.208628
-9999,-0.8912613
-9999,-9999
9.083578,0.2484139
-9999,-9999
-9999,-1.311474
-9999,-0.09811946
-9999,0.4220843
9.056527,0.220492
-9999,-0.09818218
-9999,-9999
-9999,-0.6303983
-9999,-9999
-9999,0.4216666
-9999,-9999
9.162812,-2.463183
-9999,-1.311277
-9999,-0.6301239
-9999,-0.5044993
-9999,-9999
-9999,-1.450589
-9999,-1.449785
-9999,0.5681759
-9999,0.5681606
-9999,-1.542348
-9999,-0.5044891
9.151122,-2.587463
-9999,-9999
-9999,-0.7423761
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.212797
-9999,-9999
-9999,-1.212321
-9999,-0.7429063
-9999,-9999
-9999,-1.542554
8.641423,0.3428976
-9999,-9999
-9999,0.06013395
-9999,-0.6728337
-9999,-1.130613
9.146013,0.4564192
-9999,-1.234618
-9999,-1.234491
-9999,-0.6735066
-9999,-9999
-9999,-9999
-9999,-0.05313114
-9999,-9999
8.665844,0.4230646
-9999,0.7570744
-9999,-0.9413485
-9999,-1.686318
-9999,-9999
-9999,-0.9423808
-9999,0.7569072
-9999,-1.272493
-9999,0.06027856
8.906366,-0.3391835
-9999,-1.686863
-9999,-9999
